,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
No,Yes,30 Hours per week,For profit,06/13/2023,Job,International Finance and Economic Policy,MPA,Private,Other – Business Services,AES,Energy Transition Fuels Team,Energy Market Analyst,"Washington, DC",,United States,Energy Market Analyst,,"o	$75,000-$79,999","o	$75,000-$79,999",,,,"Washington, DC",United States,Private,Other – Business Services,Post Graduation,LinkedIn Group,,,,"Every day, all around the world, our people generate and distribute the electricity that accelerates businesses, energizes hospitals and schools, and elevates the quality of life.   Combining deep local insights, global presence and perspective, and a relentless commitment to operational excellence and values, we help communities and countries grow through reliable and responsible electric power. We operate in extremely diverse markets, from the world’s most developed countries to some of the fastest growing economies. Everywhere we operate, we believe that dependable electricity is essential to human progress and to advancing economic growth, public health and security.   As one of the world’s largest power companies, AES owns and operates a diverse and growing portfolio of generation and distribution businesses with the capacity to serve 100 million people worldwide. Our power plants encompass a broad range of technologies and fuel types, from coal to gas to renewables such as wind, hydro and biomass. Our utilities power major cities, from São Paulo to Indianapolis to Douala. Beyond power, we also mine coal, turn seawater into drinking water, and are committing significant resources to alternative sources of energy to ensure a sustainable future. We also are building a climate change business, to develop projects that offset greenhouse gas emissions and produce emissions offset credits.",Yes,Yes,,United States (USA),06/08/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,"77000 USD Salary, 5000 relocation, 10% performance based bonus",,,,06/13/2023,06/13/2023,06/13/2023,Washington - DC,United States (USA),Partially Remote,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,District of Columbia,No,,,Yes,No,No,,No,,,,No,No
No,Yes,30 Hours per week,Non-profit,06/13/2023,Job,Urban and Social Policy,MPA,Nonprofit,Research/Think Tank,African Center for Economic Transformation (ACET),,Consulting Researcher,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Research/Think Tank,Post Graduation,,I have yet to make any attempts to look for a job,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	I have not started actively applying.,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,No Concentration,MPA-MDP,Public,Foreign Government,Agence Française de Développement,,"Chargé de Projets - Banking, Finance, SOEs, and Non-Sovereign",,,Indonesia,,,,,,,,,Indonesia,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Other – Business Services,AIR COMPANY,,Climate Justice Fellow,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/13/2023,Job,No Concentration,MPA-ESP,Private,Consulting,AKRF,Planning Department,Planner,"New York,",NY,United States,Planner,,"o	$85,000-$89,999","o	$85,000-$89,999",,,,NY,United States,Private,Consulting,Post Graduation,Personal Contact,,,,,Yes,Yes,,United States (USA),05/15/2023,,,,Female,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,06/19/2023,06/19/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,No,,,Yes,No,No,,No,,,,No,No
No,No,,,,Job,Economic and Political Development,MPA,Nonprofit,Public Interest/Advocacy,Alaska Native Tribal Health Consortium ,,Food Sovereignty Project Manager,"Anchorage,",AK,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Private,Other – Business Services,Albertsons Companies,,Supplier Diversity Consultant,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Other – Business Services,Align Impact,,Investment,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,Economic and Political Development,MIA,Private,Consulting,Allianz,,"Underwriter, Financial Institutions","New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Not seeking,,07/11/2023,Not seeking / Other Intention,No Concentration,EMPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,,,,,Yes,,,,,,,,Female,,Yes,,,,Yes,,,,,,,,,Going to stay at my current job for a few more months.,,per year,,,,,,,,,07/11/2023,05/15/2023,05/15/2023,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Consulting,Alvarez & Marsal,,Public Sector Services Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,DUAL MIA/MBA: SIPA and Business,MIA,Private,Technology,Amazon,,"Senior Product Manager, MBA Launch Leadership Rotational Program","Stockholm, ",,Sweden,,,,,,,,,Sweden,Private,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-MDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Private,Technology,Amazon Web Services (AWS),Partner sales,Technical business developer,"Seattle,",WA,United States,Technical business developer,,"o	$85,000-$89,999","o	$85,000-$89,999",,,,WA,United States,Private,Technology,Post Graduation,Internships other than Career Services,,,,"Launched in 2006, Amazon Web Services (AWS) began exposing key infrastructure services to businesses in the form of web services -- now widely known as cloud computing. The ultimate benefit of cloud computing, and AWS, is the ability to leverage a new business model and turn capital infrastructure expenses into variable costs. Businesses no longer need to plan and procure servers and other IT resources weeks or months in advance. Using AWS, businesses can take advantage of Amazon's expertise and economies of scale to access resources when their business needs them, delivering results faster and at a lower cost.

Today, Amazon Web Services provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. With data center locations in the U.S., Europe, Singapore, and Japan, customers across all industries are taking advantage of our low cost, elastic, open and flexible, secure platform.",Yes,Yes,,United States (USA),09/05/2022,,,,Male,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,"130,000",,,,06/13/2023,06/19/2023,06/19/2023,Seattle - WA,United States (USA),Partially Remote,Seattle-Tacoma-Olympia -- WA,,Washington,Yes,,,Yes,No,No,,No,,,,Yes,No
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Analysis Group,,"Analyst, Economic Consulting","San Francisco,",CA,United States,,,,,,,,CA,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Analysis Group,,Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Other – Business Services,Antara Health,,Member Communciations Lead,,,Kenya,,,,,,,,,Kenya,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,No Concentration,MPA-ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,06/13/2023,Still Seeking Employment,No Concentration,MPA-EPM,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/28/2023,Job,Urban and Social Policy,MIA,Private,Other – Business Services,Antler,,Global Portfolio,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,Post Graduation,,I have yet to make any attempts to look for a job,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/28/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Aon,,Associate Consultant,"San Francisco,",CA,United States,,,,,,,,CA,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,Aramco,,Kingdom Utilities Planning,"Dharan,",,Nepal,,,,,,,,,Nepal,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/13/2023,Still Seeking Employment,International Security Policy,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Consulting,Arcadis,,Assistant Project Manager,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/13/2023,Job,Human Rights & Humanitarian Policy ,MIA,Private,Technology,Ardent Eagle Solutions,,Research Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Private,Technology,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Other – Business Services,Ascent Investor Relations LLC,,Investor Relations Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/13/2023,Still Seeking Employment,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,ENERGY AND ENVIRONMENT,MPA,Public,Multilateral Organizations,ASEAN Center for Energy,,Research Analyst,,,Indonesia,,,,,,,,,Indonesia,Public,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,07/18/2023,Job,No Concentration,MPA-MDP,Nonprofit,Public Interest/Advocacy,Ashoka x Changemaker Companies,,Corporate Partnerships Associate,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Public Interest/Advocacy,Post Graduation,,"I have interviewed for one or more opportunities but have not received an offer of employment, I have applied for one or more opportunities but have not received an invitation to interview",,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,07/18/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Multilateral Organization,,Job,No Concentration,MPA-EPM,Public,Multilateral Organizations,Asian Infrastructure Investment Bank,,International Expert (GEDSI in Transport Infrastructure),"Beijing, ",,China,,,,,,,,,China,Multilateral Organization,Multilateral Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Other – Business Services,Aspen Power,,Director - Project Finance,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,MPA-MDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,Economic and Political Development,MPA,Private,Technology,Athena Infonomics,,"Intern, MEL","Washington, DC",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,International Finance and Economic Policy,MPA,Nonprofit,Research/Think Tank,Atlantic Council,,"Assistant Director, Cyber Statecraft Initiative","Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Research/Think Tank,Atlantic Council,,Project Asisstant,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,DUAL MPA/MPP: SIPA and HERTIE,MPA   ,Private,Other – Business Services,Aurora Energy Research,,Analyst,"Berlin, ",,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,ENERGY AND ENVIRONMENT,MPA,Public,Foreign Government,Australian Department of Foreign Affairs and Trade,,Policy Officer,"Barton, Austrailian Capital Territory,",,Australia,,,,,,,,,Australia,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,09/27/2023,Still Seeking Employment,Economic and Political Development,MIA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Winter 2022/2023,,,per year,,,,,,,,,09/27/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Bain & Company,,Consultant,"Boston, ",MA,United States,,,,,,,,MA,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Other – Business Services,Balanced Rock Power,,Associate of Development and Origination,"Denver, ",CO,United States,,,,,,,,CO,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
